Nº;Fecha;Curso;Tipo;Subtipo;Días;Horas totales;Hora inicio;Zona;Instalación;Monitor/a;Precio socio €;Precio no socio €;Plazas totales;Plazas libres;Alistados totales;Alistados socios;Alistados no socios;% Ocupación;Temporada;Día semana;Franja
368;2025-03-19;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Paseo De Coches;Guadalupe;43,0;43,0;12;11;1;0;1;8,3;2024-25;Miércoles;Tarde
369;2025-03-22;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;San Sebastián de los Reyes;Parque De La Marina;Irene R;23,0;28,0;10;9;1;1;0;10,0;2024-25;Sábado;Mañana
370;2025-03-23;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;11:00;Nuevos Ministerios;Azca;Iciar;23,0;28,0;10;5;5;5;0;50,0;2024-25;Domingo;Mañana
371;2025-03-25;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:30;Barajas;Recinto Ferial;Vanesa;33,0;33,0;10;2;8;0;8;80,0;2024-25;Martes;Tarde
372;2025-03-27;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;10;7;3;0;3;30,0;2024-25;Jueves;Tarde
373;2025-03-30;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;33,0;33,0;10;0;10;0;10;100,0;2024-25;Domingo;Mañana
374;2025-03-30;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;43,0;43,0;10;1;9;0;9;90,0;2024-25;Domingo;Mañana
375;2025-03-30;Curso Patinaje Urbano Niños;Niños Disciplinas;Urbano;1;1.5;11:00;Juan Carlos I;Parking Auditorium;Vanesa;18,0;23,0;10;1;9;9;0;90,0;2024-25;Domingo;Mañana
376;2025-03-30;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;33,0;33,0;12;8;4;0;4;33,3;2024-25;Domingo;Mañana
377;2025-03-30;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;43,0;43,0;12;10;2;0;2;16,7;2024-25;Domingo;Mañana
378;2025-03-30;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;18:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;14;2;2;0;12,5;2024-25;Domingo;Tarde
379;2025-03-31;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:15;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;8;2;6;0;6;75,0;2024-25;Lunes;Tarde
380;2025-03-31;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;10;8;2;0;2;20,0;2024-25;Lunes;Tarde
381;2025-04-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Marta Águila;43,0;43,0;10;0;10;0;10;100,0;2024-25;Martes;Tarde
382;2025-04-09;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;43,0;43,0;10;6;4;0;4;40,0;2024-25;Miércoles;Tarde
383;2025-04-22;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:30;Barajas;Recinto Ferial;Vanesa;33,0;33,0;16;2;14;0;14;87,5;2024-25;Martes;Tarde
384;2025-04-27;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;Retiro;Paseo De Coches;Marta Águila;23,0;28,0;10;1;9;7;2;90,0;2024-25;Domingo;Mañana
385;2025-04-27;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;10;6;5;1;37,5;2024-25;Domingo;Tarde
386;2025-04-27;Curso Tecnificación Fs. Slalom;Freestyle Slalom;Tecnificación;1;2.0;10:00;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;23,0;28,0;16;12;4;4;0;25,0;2024-25;Domingo;Mañana
387;2025-05-06;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Curva Rosaleda;Marta Águila;43,0;43,0;10;7;3;0;3;30,0;2024-25;Martes;Tarde
388;2025-05-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;17:30;Barajas;Recinto Ferial;Vanesa;33,0;33,0;10;9;1;0;1;10,0;2024-25;Martes;Tarde
389;2025-05-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;33,0;33,0;10;1;9;0;9;90,0;2024-25;Miércoles;Tarde
390;2025-05-09;Curso Patinaje en Cuestas Básico;Cuestas;Básico;2;3.0;18:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;27,0;33,0;10;4;6;6;0;60,0;2024-25;Viernes;Tarde
391;2025-05-09;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;2;3.0;19:00;Metropolitano;Parking Exterior;David Rivas;27,0;33,0;14;4;10;8;2;71,4;2024-25;Viernes;Tarde
392;2025-05-10;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;Juan Carlos I;Parking Auditorium;Vanesa;23,0;28,0;10;5;5;5;0;50,0;2024-25;Sábado;Mañana
393;2025-05-11;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa1-Iciar23;33,0;33,0;10;0;10;0;10;100,0;2024-25;Domingo;Mañana
394;2025-05-11;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Vanesa1-Iciar23;43,0;43,0;10;5;5;0;5;50,0;2024-25;Domingo;Mañana
395;2025-05-11;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;12:40;Retiro;Curva Rosaleda;David Rivas;43,0;43,0;8;1;7;0;7;87,5;2024-25;Domingo;Mañana
396;2025-05-11;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;Retiro;Curva Rosaleda;David Rivas;33,0;33,0;12;2;10;0;10;83,3;2024-25;Domingo;Mañana
397;2025-05-11;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;Retiro;Curva Rosaleda;David Rivas;43,0;43,0;10;2;8;0;8;80,0;2024-25;Domingo;Mañana
398;2025-05-11;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;10:00;Ventas;Alrededores Plaza De Toros;Iciar;23,0;28,0;10;1;9;8;1;90,0;2024-25;Domingo;Mañana
399;2025-05-12;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:15;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;10;0;10;0;10;100,0;2024-25;Lunes;Tarde
400;2025-05-12;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;10;5;5;0;5;50,0;2024-25;Lunes;Tarde
401;2025-05-17;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;10;1;9;0;9;90,0;2024-25;Sábado;Mañana
402;2025-05-17;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;33,0;33,0;12;4;8;0;8;66,7;2024-25;Sábado;Mañana
403;2025-05-17;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;43,0;43,0;12;8;4;0;4;33,3;2024-25;Sábado;Mañana
404;2025-05-17;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;12:40;Retiro;Curva Rosaleda;David Rivas;33,0;33,0;12;5;7;0;7;58,3;2024-25;Sábado;Mañana
405;2025-05-17;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;Retiro;Curva Rosaleda;David Rivas;33,0;33,0;10;0;10;0;10;100,0;2024-25;Sábado;Mañana
406;2025-05-17;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Curva Rosaleda;David Rivas;43,0;43,0;8;4;4;0;4;50,0;2024-25;Sábado;Mañana
407;2025-05-18;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;2;3.0;10:30;Retiro;Instalación Deportiva Retiro-Poeta;Marta Águila;27,0;33,0;16;6;10;9;1;62,5;2024-25;Domingo;Mañana
408;2025-05-18;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;23,0;28,0;16;10;6;1;5;37,5;2024-25;Domingo;Tarde
409;2025-05-21;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;43,0;43,0;12;7;5;0;5;41,7;2024-25;Miércoles;Tarde
410;2025-05-21;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Curva Rosaleda;Guadalupe;43,0;43,0;8;1;7;0;7;87,5;2024-25;Miércoles;Tarde
411;2025-05-22;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;10;3;7;0;7;70,0;2024-25;Jueves;Tarde
412;2025-05-24;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;San Sebastián de los Reyes;Parque De La Marina;Irene R;23,0;28,0;10;7;3;3;0;30,0;2024-25;Sábado;Mañana
413;2025-06-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;33,0;33,0;10;0;10;0;10;100,0;2024-25;Domingo;Mañana
414;2025-06-01;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;33,0;33,0;12;4;8;0;8;66,7;2024-25;Domingo;Mañana
415;2025-06-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;43,0;43,0;12;5;7;0;7;58,3;2024-25;Domingo;Mañana
416;2025-06-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:00;Retiro;Instalación Deportiva Retiro-Poeta;Mileni;33,0;33,0;10;0;10;0;10;100,0;2024-25;Domingo;Mañana
417;2025-06-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;09:30;Retiro;Instalación Deportiva Retiro-Poeta;Mileni;43,0;43,0;8;0;8;0;8;100,0;2024-25;Domingo;Mañana
418;2025-06-01;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;10:00;Nuevos Ministerios;Azca;Marta Águila;23,0;28,0;10;1;9;9;0;90,0;2024-25;Domingo;Mañana
419;2025-06-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;12:40;Retiro;Curva Rosaleda;David Rivas;43,0;43,0;10;1;9;0;9;90,0;2024-25;Domingo;Mañana
420;2025-06-01;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;11:30;Retiro;Curva Rosaleda;David Rivas;33,0;33,0;12;5;7;0;7;58,3;2024-25;Domingo;Mañana
421;2025-06-01;Curso Iniciación Patinaje Nivel 2;Iniciación Adultos Nivel 2;;3;4.0;10:00;Retiro;Curva Rosaleda;David Rivas;43,0;43,0;10;6;4;1;3;40,0;2024-25;Domingo;Mañana
422;2025-06-02;Curso Iniciación Patinaje Nivel 2;Iniciación Adultos Nivel 2;;3;4.0;19:30;Madrid Río;Explanada Matadero;Guadalupe;43,0;43,0;10;5;5;0;5;50,0;2024-25;Lunes;Tarde
423;2025-06-02;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:30;Madrid Río;Explanada Matadero;Guadalupe;33,0;33,0;12;9;3;0;3;25,0;2024-25;Lunes;Tarde
424;2025-06-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Curva Rosaleda;Juan Carlos;43,0;43,0;8;1;7;0;7;87,5;2024-25;Lunes;Tarde
425;2025-06-03;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Curva Rosaleda;Marta Águila;43,0;43,0;8;7;1;0;1;12,5;2024-25;Martes;Tarde
426;2025-06-03;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;18:30;Barajas;Recinto Ferial;Vanesa;33,0;33,0;12;7;5;0;5;41,7;2024-25;Martes;Tarde
427;2025-06-04;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;33,0;33,0;12;4;8;0;8;66,7;2024-25;Miércoles;Tarde
428;2025-06-06;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;2;3.0;19:00;Retiro;Curva Rosaleda;Marta Águila;27,0;33,0;12;3;9;9;0;75,0;2024-25;Viernes;Tarde
429;2025-06-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo12-Vanesa3;33,0;33,0;10;2;8;0;8;80,0;2024-25;Sábado;Mañana
430;2025-06-07;Curso Patinaje Básico 2 Niños;Niños Básico 2;;3;3.0;11:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo12-Vanesa3;33,0;33,0;12;10;2;0;2;16,7;2024-25;Sábado;Mañana
431;2025-06-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo12-Vanesa3;43,0;43,0;10;8;2;0;2;20,0;2024-25;Sábado;Mañana
432;2025-06-07;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;11:30;Retiro;Curva Rosaleda;Yomi;33,0;33,0;12;6;6;0;6;50,0;2024-25;Sábado;Mañana
433;2025-06-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:00;Retiro;Curva Rosaleda;Yomi;43,0;43,0;8;4;4;0;4;50,0;2024-25;Sábado;Mañana
434;2025-06-11;Curso Iniciación Patinaje Nivel 2;Iniciación Adultos Nivel 2;;2;3.0;20:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;33,0;33,0;12;8;4;1;3;33,3;2024-25;Miércoles;Tarde
435;2025-06-12;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;43,0;43,0;12;10;2;0;2;16,7;2024-25;Jueves;Tarde
436;2025-06-22;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;Juan Carlos I;Parking Auditorium;Vanesa;23,0;28,0;10;8;2;1;1;20,0;2024-25;Domingo;Mañana
437;2025-06-23;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Curva Rosaleda;Guadalupe;43,0;43,0;10;0;10;0;10;100,0;2024-25;Lunes;Tarde
438;2025-07-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:20;Retiro;Paseo De Coches;Mileni;30,0;43,0;10;7;3;0;3;30,0;2024-25;Martes;Tarde
439;2025-07-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:00;Retiro;Paseo De Coches;Mileni;30,0;43,0;12;10;2;0;2;16,7;2024-25;Martes;Tarde
440;2025-07-01;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;30,0;43,0;10;6;4;0;4;40,0;2024-25;Martes;Tarde
441;2025-07-01;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;22,0;33,0;10;5;5;0;5;50,0;2024-25;Martes;Tarde
442;2025-07-01;Curso Refuerzo Patinaje Avanzado;Refuerzo Adultos;Avanzado;3;4.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;30,0;43,0;14;6;8;8;0;57,1;2024-25;Martes;Tarde
443;2025-07-01;Curso Refuerzo Patinaje Experto 1;Refuerzo Adultos;Experto 1;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;30,0;43,0;14;14;0;0;0;0,0;2024-25;Martes;Tarde
444;2025-07-02;Curso Patinaje en Cuestas Med/Avz;Cuestas;Med/avz;3;4.0;20:20;Juan Carlos I;Parking Auditorium;Iciar;30,0;43,0;10;1;9;7;2;90,0;2024-25;Miércoles;Tarde
445;2025-07-02;Curso Patinaje en Cuestas Bás/Med;Cuestas;Bás/med;3;4.0;19:00;Juan Carlos I;Parking Auditorium;Iciar;30,0;43,0;10;4;6;4;2;60,0;2024-25;Miércoles;Tarde
446;2025-07-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Madrid Río;Explanada Matadero;Yomi;30,0;43,0;8;3;5;0;5;62,5;2024-25;Miércoles;Tarde
447;2025-07-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Madrid Río;Explanada Matadero;Yomi;22,0;33,0;10;3;7;0;7;70,0;2024-25;Miércoles;Tarde
448;2025-07-02;Curso Refuerzo Patinaje Experto 2;Refuerzo Adultos;Experto 2;3;4.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Javi;30,0;43,0;14;7;7;7;0;50,0;2024-25;Miércoles;Tarde
449;2025-07-02;Curso de Derrapes;Otros;Curso de Derrapes;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;30,0;43,0;14;3;11;10;1;78,6;2024-25;Miércoles;Tarde
450;2025-07-05;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:00;Retiro;Paseo De Coches;Yomi;13,0;22,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
451;2025-07-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;Retiro;Paseo De Coches;Yomi;22,0;33,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
452;2025-07-05;Curso Wizard Iniciación;Otros;Curso Wizard Iniciación;1;2.0;09:30;Retiro;Instalación Deportiva Retiro-Poeta;Javi;18,0;28,0;14;1;13;13;0;92,9;2024-25;Sábado;Mañana
453;2025-07-05;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;09:30;Plaza De Castilla;Intercambiador Metro;Javi;18,0;28,0;10;10;0;0;0;0,0;2024-25;Sábado;Mañana
454;2025-07-06;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;09:30;Retiro;Paseo De Coches;Iciar;18,0;28,0;10;0;10;10;0;100,0;2024-25;Domingo;Mañana
455;2025-07-06;Curso Iniciación Artístico;Otros;Curso Iniciación Artístico;1;2.0;09:30;Retiro;Instalación Deportiva Retiro-Poeta;Javi;18,0;28,0;14;1;13;13;0;92,9;2024-25;Domingo;Mañana
456;2025-07-07;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;19:00;Retiro;Paseo De Coches;Marta Águila;30,0;43,0;12;9;3;3;0;25,0;2024-25;Lunes;Tarde
457;2025-07-10;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;2;4.0;19:30;Retiro;Instalación Deportiva Retiro-Poeta;Marta Águila;30,0;43,0;12;6;6;5;1;50,0;2024-25;Jueves;Tarde
458;2025-07-11;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;19:30;Juan Carlos I;Parking Auditorium;Alex;18,0;28,0;10;1;9;7;2;90,0;2024-25;Viernes;Tarde
459;2025-07-12;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:00;Retiro;Paseo De Coches;Alex;13,0;22,0;12;7;5;0;5;41,7;2024-25;Sábado;Mañana
460;2025-07-12;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:30;Retiro;Paseo De Coches;Alex;22,0;33,0;12;9;3;0;3;25,0;2024-25;Sábado;Mañana
461;2025-07-12;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;13,0;22,0;10;8;2;0;2;20,0;2024-25;Sábado;Mañana
462;2025-07-12;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;22,0;33,0;10;5;5;0;5;50,0;2024-25;Sábado;Mañana
463;2025-07-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:20;Madrid Río;Explanada Matadero;Marta Águila;30,0;43,0;10;4;6;0;6;60,0;2024-25;Miércoles;Tarde
464;2025-07-16;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:00;Madrid Río;Explanada Matadero;Marta Águila;30,0;43,0;12;9;3;0;3;25,0;2024-25;Miércoles;Tarde
465;2025-07-16;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;20:20;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;30,0;43,0;16;7;9;9;0;56,2;2024-25;Miércoles;Tarde
466;2025-07-16;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;19:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodríguez;30,0;43,0;16;7;9;5;4;56,2;2024-25;Miércoles;Tarde
467;2025-07-16;Curso Tecnificación Tiros Hockey;Hockey;Tecnificación tiros;3;4.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Javi;30,0;43,0;14;5;9;9;0;64,3;2024-25;Miércoles;Tarde
468;2025-07-16;Curso Hockey Tecnificación;Hockey;Tecnificación;3;4.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Javi;30,0;43,0;14;9;5;5;0;35,7;2024-25;Miércoles;Tarde
469;2025-07-16;Curso Iniciación Hockey;Hockey;Iniciación;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;30,0;43,0;14;4;10;6;4;71,4;2024-25;Miércoles;Tarde
470;2025-07-16;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;4.0;20:20;El Cañaveral;Calle Villagonzalo Pedernales;David Rivas;30,0;43,0;14;7;7;7;0;50,0;2024-25;Miércoles;Tarde
471;2025-07-16;Curso Tecnificación Pat. Velocidad;Velocidad;Tecnificación;3;4.0;19:00;Metropolitano;Parking Exterior;David Rivas;30,0;43,0;14;11;3;2;1;21,4;2024-25;Miércoles;Tarde
472;2025-07-17;Curso Refuerzo Patinaje Básico;Refuerzo Adultos;Básico;3;4.0;20:20;Madrid Río;Explanada Matadero;David Rivas;30,0;43,0;12;5;7;4;3;58,3;2024-25;Jueves;Tarde
473;2025-07-17;Curso Refuerzo Patinaje Medio;Refuerzo Adultos;Medio;3;4.0;19:00;Madrid Río;Explanada Matadero;David Rivas;30,0;43,0;12;8;4;3;1;33,3;2024-25;Jueves;Tarde
474;2025-07-17;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;30,0;43,0;12;10;2;0;2;16,7;2024-25;Jueves;Tarde
475;2025-07-17;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;22,0;33,0;12;5;7;0;7;58,3;2024-25;Jueves;Tarde
476;2025-07-17;Curso Tecnificación Fs. Slalom;Freestyle Slalom;Tecnificación;3;4.0;20:20;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;30,0;43,0;16;8;8;8;0;50,0;2024-25;Jueves;Tarde
477;2025-07-17;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Iciar;30,0;43,0;16;11;5;5;0;31,2;2024-25;Jueves;Tarde
478;2025-07-17;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;30,0;43,0;10;6;4;0;4;40,0;2024-25;Jueves;Tarde
479;2025-07-17;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:10;Barajas;Recinto Ferial;Vanesa;22,0;33,0;10;6;4;0;4;40,0;2024-25;Jueves;Tarde
480;2025-07-19;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;09:30;Retiro;Paseo De Coches;David Rivas;18,0;28,0;10;6;4;3;1;40,0;2024-25;Sábado;Mañana
481;2025-07-19;Curso Iniciación Patinaje Niños;Niños Iniciación;;2;2.0;11:00;Retiro;Paseo De Coches;Marta Águila;13,0;22,0;10;2;8;0;8;80,0;2024-25;Sábado;Mañana
482;2025-07-19;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;09:30;Retiro;Paseo De Coches;Marta Águila;22,0;33,0;10;4;6;0;6;60,0;2024-25;Sábado;Mañana
483;2025-07-19;Curso Patinaje Básico Niños;Niños Básico 1;;2;2.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;13,0;22,0;12;11;1;0;1;8,3;2024-25;Sábado;Mañana
484;2025-07-19;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;09:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Samuel;22,0;33,0;12;10;2;0;2;16,7;2024-25;Sábado;Mañana
485;2025-07-19;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;1;1.5;10:00;Retiro;Instalación Deportiva Retiro-Poeta;Alex;13,0;23,0;14;12;2;2;0;14,3;2024-25;Sábado;Mañana
486;2025-07-20;Curso Iniciación Pumptrack Niños;Niños Disciplinas;Pumptrack;1;1.5;10:30;Torrejón De Ardoz;Parque Del Ocio;Alex;13,0;23,0;10;7;3;2;1;30,0;2024-25;Domingo;Mañana
487;2025-07-20;Curso Iniciación Pumptrack;Otros;Curso Iniciación Pumptrack;1;2.0;08:30;Torrejón De Ardoz;Parque Del Ocio;Alex;18,0;28,0;10;3;7;7;0;70,0;2024-25;Domingo;Mañana
488;2025-09-02;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;30,0;43,0;10;5;5;0;5;50,0;2025-26;Martes;Tarde
489;2025-09-02;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;19:00;Barajas;Recinto Ferial;Vanesa;22,0;33,0;10;8;2;0;2;20,0;2025-26;Martes;Tarde
